age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,deposit,balance_per_second
58,entrepreneur,married,tertiary,no,853,no,no,unknown,5,jun,1149,2,-1,0,unknown,yes,0.742384682332463
37,blue-collar,single,secondary,no,5024,no,yes,cellular,25,jul,661,4,-1,0,unknown,yes,7.6006051437216335
33,management,married,secondary,no,369,no,no,cellular,11,feb,446,1,-1,0,unknown,yes,0.827354260089686
39,admin.,married,secondary,no,732,no,no,cellular,23,apr,522,4,-1,0,unknown,yes,1.4022988505747127
33,management,married,tertiary,no,55,no,no,cellular,30,apr,526,2,87,3,failure,yes,0.10456273764258556
31,admin.,single,tertiary,no,355,yes,no,cellular,12,may,609,1,-1,0,unknown,yes,0.5829228243021346
33,services,married,secondary,no,210,yes,no,cellular,13,may,1207,2,-1,0,unknown,yes,0.1739850869925435
32,services,single,secondary,no,152,yes,no,cellular,25,may,158,2,-1,0,unknown,yes,0.9620253164556962
54,management,married,tertiary,no,534,no,no,cellular,1,jun,177,2,-1,0,unknown,yes,3.016949152542373
28,technician,single,tertiary,no,4987,no,no,cellular,2,jun,924,2,113,21,success,yes,5.397186147186147
58,retired,married,primary,no,2074,no,no,cellular,18,jun,259,2,-1,0,unknown,yes,8.007722007722007
46,blue-collar,married,secondary,no,922,yes,no,telephone,8,jul,576,1,-1,0,unknown,yes,1.6006944444444444
34,management,married,tertiary,no,0,yes,no,cellular,7,aug,262,1,99,2,success,yes,0.0
22,services,single,secondary,no,129,no,no,cellular,16,oct,258,1,-1,0,unknown,yes,0.5
73,retired,married,primary,no,796,no,no,cellular,23,apr,888,1,182,3,success,yes,0.8963963963963963
38,management,married,tertiary,no,630,no,no,cellular,2,sep,362,1,388,3,other,yes,1.7403314917127073
46,blue-collar,married,secondary,no,1147,yes,no,cellular,20,apr,720,1,-1,0,unknown,yes,1.5930555555555554
36,management,single,tertiary,no,1379,no,no,cellular,25,may,189,1,186,1,failure,yes,7.296296296296297
73,retired,married,tertiary,no,459,no,no,cellular,17,feb,281,1,-1,0,unknown,yes,1.6334519572953736
28,admin.,single,unknown,no,2736,no,no,cellular,8,jul,705,1,-1,0,unknown,yes,3.880851063829787
45,blue-collar,single,secondary,no,0,no,no,cellular,5,aug,374,2,472,1,success,yes,0.0
35,blue-collar,married,primary,no,623,yes,no,cellular,6,may,97,2,-1,0,unknown,no,6.422680412371134
47,housemaid,divorced,primary,no,1405,no,no,unknown,12,jun,127,1,-1,0,unknown,no,11.062992125984252
27,management,single,secondary,no,116,yes,no,cellular,6,feb,138,2,-1,0,unknown,no,0.8405797101449275
27,admin.,married,secondary,no,941,yes,no,cellular,11,jul,124,1,-1,0,unknown,no,7.588709677419355
37,unemployed,married,secondary,no,459,no,no,cellular,20,nov,109,4,-1,0,unknown,no,4.2110091743119265
36,blue-collar,married,primary,no,409,yes,no,unknown,11,jun,81,3,-1,0,unknown,no,5.049382716049383
30,management,single,tertiary,no,222,yes,no,cellular,12,aug,112,4,-1,0,unknown,no,1.9821428571428572
46,self-employed,married,tertiary,no,137,yes,yes,unknown,5,may,246,1,-1,0,unknown,no,0.556910569105691
26,blue-collar,single,secondary,no,78,no,no,telephone,28,jan,43,1,-1,0,unknown,no,1.813953488372093
42,admin.,married,secondary,no,1133,yes,no,cellular,4,feb,161,4,212,3,failure,no,7.037267080745342
40,admin.,married,primary,no,189,yes,no,unknown,27,may,160,2,-1,0,unknown,no,1.18125
54,technician,married,primary,no,3067,yes,no,telephone,29,jul,222,3,-1,0,unknown,no,13.815315315315315
34,management,single,tertiary,no,1190,no,no,cellular,3,feb,18,7,-1,0,unknown,no,66.11111111111111
46,management,married,tertiary,no,385,yes,no,unknown,29,may,52,4,-1,0,unknown,no,7.403846153846154
70,retired,married,primary,no,3230,no,no,cellular,24,nov,112,1,-1,0,unknown,no,28.839285714285715
45,self-employed,married,tertiary,no,-497,yes,yes,cellular,15,may,217,1,176,1,failure,no,-2.2903225806451615
51,blue-collar,married,secondary,no,-92,yes,no,unknown,4,jun,28,4,-1,0,unknown,no,-3.2857142857142856
38,management,married,tertiary,no,1440,no,no,cellular,11,aug,111,2,-1,0,unknown,no,12.972972972972974
44,management,married,tertiary,no,1451,yes,no,cellular,5,feb,80,7,80,15,failure,no,18.1375
52,blue-collar,married,secondary,no,665,yes,no,unknown,15,may,57,4,-1,0,unknown,no,11.666666666666666
33,admin.,married,secondary,no,0,yes,yes,cellular,9,jul,160,1,-1,0,unknown,no,0.0
58,housemaid,married,primary,no,260,yes,no,telephone,15,may,71,5,364,3,failure,no,3.6619718309859155
32,blue-collar,married,secondary,no,-325,yes,yes,unknown,21,may,171,1,-1,0,unknown,no,-1.9005847953216375
28,blue-collar,single,secondary,no,759,yes,no,unknown,9,may,710,1,-1,0,unknown,yes,1.0690140845070422
36,services,married,secondary,no,0,no,no,cellular,30,jul,843,2,-1,0,unknown,yes,0.0
49,services,married,secondary,no,1314,no,no,cellular,14,aug,834,14,-1,0,unknown,yes,1.5755395683453237
33,blue-collar,single,tertiary,no,700,no,no,cellular,9,feb,126,1,88,1,success,yes,5.555555555555555
34,management,single,tertiary,no,212,no,no,cellular,25,mar,278,8,-1,0,unknown,yes,0.762589928057554
52,retired,divorced,primary,no,-779,yes,yes,cellular,17,apr,709,1,-1,0,unknown,yes,-1.0987306064880114
45,admin.,married,unknown,no,5511,no,no,cellular,2,jul,272,1,-1,0,unknown,yes,20.261029411764707
27,management,single,tertiary,no,2489,no,no,cellular,15,jul,323,2,163,2,other,yes,7.705882352941177
54,unemployed,divorced,secondary,no,1664,no,no,cellular,15,sep,106,1,105,3,success,yes,15.69811320754717
38,admin.,married,secondary,no,1767,yes,no,cellular,12,nov,893,7,-1,0,unknown,yes,1.9787234042553192
41,unemployed,married,secondary,no,0,yes,yes,cellular,5,may,400,1,-1,0,unknown,yes,0.0
30,management,single,secondary,no,4642,yes,no,cellular,21,nov,528,1,-1,0,unknown,yes,8.791666666666666
30,management,single,tertiary,no,3384,no,no,cellular,4,jun,578,2,-1,0,unknown,yes,5.854671280276817
24,technician,married,secondary,no,556,yes,no,cellular,18,aug,460,2,-1,0,unknown,yes,1.208695652173913
30,management,single,tertiary,no,1028,no,no,cellular,4,feb,1294,2,-1,0,unknown,yes,0.794435857805255
48,technician,married,secondary,yes,0,no,no,unknown,30,may,682,1,-1,0,unknown,yes,0.0
30,blue-collar,married,secondary,no,5,no,no,cellular,17,apr,840,3,-1,0,unknown,yes,0.005952380952380952
38,blue-collar,married,secondary,no,961,yes,no,unknown,16,may,346,1,-1,0,unknown,no,2.777456647398844
32,services,married,secondary,no,289,yes,no,cellular,2,feb,63,1,257,2,failure,no,4.587301587301587
34,admin.,divorced,secondary,no,140,yes,no,cellular,8,may,81,2,365,1,failure,no,1.728395061728395
33,management,married,tertiary,no,307,no,no,unknown,16,may,806,4,-1,0,unknown,no,0.38089330024813894
37,blue-collar,married,primary,no,-196,yes,no,unknown,26,may,166,2,-1,0,unknown,no,-1.180722891566265
52,self-employed,divorced,secondary,no,1291,yes,no,cellular,19,nov,559,1,169,2,failure,no,2.309481216457961
34,admin.,single,secondary,no,598,yes,no,cellular,17,apr,365,1,324,1,failure,no,1.6383561643835616
39,technician,single,unknown,no,0,yes,no,unknown,7,may,130,1,-1,0,unknown,no,0.0
24,blue-collar,single,secondary,no,-398,yes,no,cellular,18,may,14,3,355,4,other,no,-28.428571428571427
38,management,married,tertiary,no,76,yes,no,cellular,20,apr,167,2,287,3,failure,no,0.4550898203592814
35,services,divorced,secondary,no,-718,yes,no,cellular,21,nov,47,1,-1,0,unknown,no,-15.27659574468085
25,admin.,single,tertiary,no,220,no,no,cellular,26,may,68,1,-1,0,unknown,no,3.235294117647059
55,admin.,married,secondary,no,420,yes,no,unknown,30,may,41,3,-1,0,unknown,no,10.24390243902439
29,services,single,secondary,no,20,yes,no,unknown,15,may,431,1,-1,0,unknown,no,0.04640371229698376
